排名,股票代码,股票名称,行业,市场板块,收盘价,结论标签,机会类型,入场分区,入场概率,次日承接,快速失败,结构分,10日延续概率,突破成功率,10日预期收益,风险分,模型风险
1,300502.SZ,新易盛,通信设备,创业板,458.38,confirmation_needed,observe,ready,98.87%,55.99%,9.69%,100,73.34%,0.34%,10.36%,70,0.43
2,300751.SZ,迈为股份,专用机械,创业板,230.53,confirmation_needed,observe,ready,94.27%,59.76%,40.10%,0,80.43%,0.38%,10.30%,99,0.49
3,603530.SH,神马电力,电气设备,主板,57.81,confirmation_needed,observe,ready,93.86%,78.42%,18.79%,13,76.59%,0.35%,18.06%,74,0.44
4,603688.SH,石英股份,矿物制品,主板,42.06,confirmation_needed,observe,ready,87.82%,20.74%,17.61%,8,72.90%,0.81%,17.53%,72,0.35
5,688012.SH,中微公司,半导体,科创板,316.74,confirmation_needed,observe,ready,87.58%,90.78%,28.11%,27,83.05%,0.42%,8.02%,71,0.49
6,002916.SZ,深南电路,元器件,主板,225.58,confirmation_needed,observe,ready,86.77%,86.84%,2.66%,5,65.26%,0.06%,8.47%,91,0.38
7,688200.SH,华峰测控,半导体,科创板,282.97,confirmation_needed,first_buy,ready,85.82%,33.87%,38.31%,46,76.16%,8.30%,9.74%,77,0.50
8,688097.SH,博众精工,专用机械,科创板,54.04,confirmation_needed,observe,ready,85.51%,54.34%,41.00%,71,71.05%,0.18%,17.69%,61,0.44
9,603312.SH,西典新能,电气设备,主板,40.17,confirmation_needed,observe,ready,85.24%,53.66%,39.28%,0,80.35%,0.07%,11.58%,99,0.40
10,002056.SZ,横店东磁,电气设备,主板,19.76,confirmation_needed,observe,ready,84.01%,42.58%,26.66%,0,74.34%,0.03%,2.77%,86,0.25
11,300488.SZ,恒锋工具,机械基件,创业板,27.57,confirmation_needed,observe,ready,82.17%,58.85%,15.74%,3,80.74%,2.94%,8.80%,89,0.36
12,002371.SZ,北方华创,半导体,主板,468.84,confirmation_needed,observe,ready,81.12%,87.34%,23.99%,82,79.51%,0.43%,7.18%,56,0.42
13,000988.SZ,华工科技,专用机械,主板,106.95,confirmation_needed,observe,ready,78.51%,72.46%,15.38%,92,71.54%,0.62%,18.14%,68,0.49
14,001328.SZ,登康口腔,日用化工,主板,32.00,confirmation_needed,observe,ready,78.08%,69.11%,17.33%,0,69.69%,0.05%,9.85%,83,0.39
15,605183.SH,确成股份,化工原料,主板,18.90,confirmation_needed,observe,ready,77.56%,61.59%,23.88%,0,71.56%,0.11%,-0.19%,88,0.36
16,600509.SH,天富能源,火力发电,主板,8.44,confirmation_needed,observe,ready,77.55%,41.55%,44.95%,19,60.40%,0.11%,0.61%,86,0.33
17,001234.SZ,泰慕士,服饰,主板,25.38,confirmation_needed,observe,ready,77.28%,61.40%,29.73%,6,58.10%,0.07%,6.06%,86,0.39
18,603556.SH,海兴电力,电器仪表,主板,33.25,confirmation_needed,observe,ready,77.00%,73.47%,39.83%,0,76.69%,0.04%,6.34%,84,0.40
19,002273.SZ,水晶光电,元器件,主板,22.38,confirmation_needed,observe,ready,76.97%,65.22%,11.88%,0,55.02%,0.07%,9.89%,87,0.34
20,300286.SZ,安科瑞,电器仪表,创业板,26.08,confirmation_needed,observe,ready,76.79%,39.15%,22.17%,0,66.64%,0.05%,15.34%,97,0.41
21,688361.SH,中科飞测,半导体,科创板,158.97,confirmation_needed,observe,ready,76.55%,83.70%,25.93%,11,73.73%,0.34%,7.66%,74,0.45
22,688212.SH,澳华内镜,医疗保健,科创板,37.11,confirmation_needed,observe,ready,76.40%,63.30%,14.78%,8,72.29%,0.04%,8.77%,75,0.16
23,002396.SZ,星网锐捷,通信设备,主板,26.06,confirmation_needed,observe,ready,76.39%,47.30%,47.89%,0,80.23%,0.59%,11.14%,89,0.37
24,003009.SZ,中天火箭,航空,主板,57.55,confirmation_needed,observe,ready,75.34%,61.88%,16.77%,0,61.28%,0.15%,8.70%,84,0.43
25,688303.SH,大全能源,电气设备,科创板,21.68,confirmation_needed,observe,ready,75.17%,40.64%,9.23%,9,65.40%,0.03%,0.57%,78,0.41
26,300677.SZ,英科医疗,医疗保健,创业板,59.30,confirmation_needed,observe,ready,74.49%,33.52%,29.26%,90,92.09%,1.24%,16.00%,63,0.46
27,002444.SZ,巨星科技,轻工机械,主板,29.56,confirmation_needed,observe,ready,74.36%,60.82%,27.15%,0,58.44%,0.05%,8.38%,86,0.29
28,300473.SZ,德尔股份,汽车配件,创业板,31.33,confirmation_needed,observe,ready,74.29%,55.48%,41.68%,11,52.91%,0.05%,7.41%,86,0.42
29,300540.SZ,蜀道装备,专用机械,创业板,19.68,confirmation_needed,observe,ready,74.19%,78.81%,8.79%,3,55.52%,0.18%,-0.36%,87,0.41
30,600458.SH,时代新材,塑料,主板,11.92,confirmation_needed,observe,ready,72.59%,50.80%,21.16%,0,64.65%,0.21%,2.18%,87,0.39
31,605208.SH,永茂泰,铝,主板,13.08,confirmation_needed,observe,ready,72.47%,31.08%,10.83%,20,77.18%,0.48%,4.54%,67,0.36
32,603345.SH,安井食品,食品,主板,90.00,confirmation_needed,observe,ready,72.12%,82.95%,18.91%,45,62.51%,0.11%,9.60%,60,0.34
33,300814.SZ,中富电路,元器件,创业板,82.46,confirmation_needed,observe,ready,71.89%,81.69%,8.47%,26,70.75%,1.02%,19.48%,78,0.39
34,300105.SZ,龙源技术,环境保护,创业板,6.95,confirmation_needed,observe,ready,71.11%,58.62%,14.07%,10,59.88%,0.06%,-0.93%,85,0.34
35,688103.SH,国力电子,元器件,科创板,53.08,confirmation_needed,observe,ready,70.93%,23.91%,19.09%,4,80.48%,0.03%,9.07%,84,0.37
36,000921.SZ,海信家电,家用电器,主板,21.37,confirmation_needed,observe,ready,70.86%,37.39%,45.53%,9,57.20%,0.06%,6.86%,76,0.36
37,603863.SH,松炀资源,造纸,主板,17.07,confirmation_needed,observe,candidate,69.67%,72.16%,18.50%,0,63.86%,0.10%,1.17%,87,0.39
38,688349.SH,三一重能,电气设备,科创板,24.36,confirmation_needed,observe,candidate,69.12%,60.29%,13.80%,29,71.15%,0.31%,4.98%,81,0.23
39,301665.SZ,泰禾股份,农药化肥,创业板,27.38,confirmation_needed,observe,candidate,69.09%,62.06%,8.42%,5,70.60%,0.05%,8.15%,83,0.39
40,002988.SZ,豪美新材,铝,主板,30.32,confirmation_needed,observe,candidate,69.07%,58.44%,27.87%,5,64.73%,0.03%,8.37%,79,0.38
41,000534.SZ,万泽股份,生物制药,主板,35.96,confirmation_needed,observe,candidate,69.03%,57.77%,14.88%,16,68.56%,0.04%,11.06%,100,0.52
42,600379.SH,宝光股份,电气设备,主板,11.58,confirmation_needed,observe,candidate,68.60%,53.15%,23.42%,15,56.82%,0.09%,-1.33%,83,0.36
43,300850.SZ,新强联,机械基件,创业板,43.21,confirmation_needed,observe,candidate,68.35%,56.52%,42.12%,20,59.09%,0.42%,11.32%,79,0.32
44,688638.SH,誉辰智能,专用机械,科创板,39.67,confirmation_needed,observe,candidate,68.26%,67.55%,18.35%,39,68.68%,0.06%,11.24%,66,0.40
45,301257.SZ,普蕊斯,医疗保健,创业板,55.53,confirmation_needed,observe,candidate,68.19%,37.22%,22.18%,12,69.17%,0.07%,8.69%,81,0.41
46,688183.SH,生益电子,元器件,科创板,84.61,confirmation_needed,first_buy,candidate,68.02%,46.62%,41.17%,50,61.03%,0.02%,7.94%,67,0.40
47,600595.SH,中孚实业,铝,主板,7.55,confirmation_needed,observe,candidate,67.76%,49.22%,5.43%,6,68.23%,0.13%,5.57%,87,0.35
48,688065.SH,凯赛生物,化工原料,科创板,50.59,confirmation_needed,observe,candidate,67.74%,65.67%,37.75%,27,77.48%,0.09%,9.72%,81,0.39
49,603063.SH,禾望电气,电气设备,主板,33.07,confirmation_needed,first_buy,candidate,67.48%,50.80%,35.09%,60,79.95%,0.04%,16.92%,64,0.35
50,301040.SZ,中环海陆,机械基件,创业板,29.83,confirmation_needed,observe,candidate,67.27%,43.67%,21.90%,0,74.57%,0.15%,8.74%,98,0.37
51,603826.SH,坤彩科技,染料涂料,主板,25.15,confirmation_needed,observe,candidate,67.27%,8.20%,26.34%,82,82.97%,0.62%,10.57%,64,0.34
52,603568.SH,伟明环保,环境保护,主板,25.85,confirmation_needed,observe,candidate,67.07%,70.15%,10.65%,17,65.85%,0.07%,6.42%,72,0.36
53,600888.SH,新疆众和,铝,主板,8.43,confirmation_needed,observe,candidate,66.72%,62.41%,17.96%,21,61.64%,0.14%,1.70%,78,0.30
54,300866.SZ,安克创新,元器件,创业板,111.34,confirmation_needed,observe,candidate,66.31%,75.09%,15.25%,78,71.78%,0.07%,5.89%,67,0.51
55,688700.SH,东威科技,专用机械,科创板,51.55,confirmation_needed,observe,candidate,65.93%,55.05%,8.30%,100,65.14%,1.02%,20.36%,60,0.51
56,688657.SH,浩辰软件,软件服务,科创板,45.22,confirmation_needed,observe,candidate,65.88%,47.34%,28.60%,10,67.59%,0.16%,9.54%,81,0.28
57,002182.SZ,宝武镁业,小金属,主板,15.75,confirmation_needed,observe,candidate,65.85%,65.63%,24.59%,0,59.92%,0.26%,-1.57%,90,0.35
58,688081.SH,兴图新科,软件服务,科创板,39.14,confirmation_needed,observe,candidate,65.82%,62.49%,46.86%,30,62.54%,0.04%,8.55%,70,0.43
59,605028.SH,世茂能源,供气供热,主板,27.03,confirmation_needed,observe,candidate,65.26%,49.96%,47.23%,30,79.20%,0.06%,8.67%,84,0.40
60,688032.SH,禾迈股份,电气设备,科创板,128.75,confirmation_needed,observe,candidate,65.06%,71.38%,5.19%,100,70.89%,0.07%,9.10%,63,0.51
61,688506.SH,百利天恒,化学制药,科创板,277.21,confirmation_needed,observe,candidate,64.75%,79.12%,25.51%,74,55.65%,0.09%,8.44%,68,0.37
62,300889.SZ,爱克股份,电气设备,创业板,25.12,confirmation_needed,observe,candidate,64.13%,18.34%,42.42%,36,63.27%,0.04%,8.01%,91,0.44
63,603661.SH,恒林股份,家居用品,主板,30.88,confirmation_needed,observe,candidate,63.81%,46.22%,13.23%,17,60.09%,0.88%,7.65%,75,0.31
64,603790.SH,雅运股份,染料涂料,主板,21.35,confirmation_needed,observe,candidate,63.62%,36.82%,38.19%,41,79.23%,0.23%,3.27%,73,0.34
65,002544.SZ,普天科技,通信设备,主板,25.56,confirmation_needed,observe,candidate,62.83%,63.09%,7.52%,4,61.13%,0.09%,6.55%,79,0.41
66,002842.SZ,翔鹭钨业,小金属,主板,33.80,confirmation_needed,observe,candidate,62.65%,36.11%,17.03%,65,79.51%,6.51%,7.98%,68,0.51
67,002150.SZ,正泰电源,机械基件,主板,33.61,confirmation_needed,observe,candidate,62.58%,80.29%,8.82%,100,73.54%,0.14%,19.81%,68,0.55
68,002355.SZ,兴民智通,汽车配件,主板,6.70,confirmation_needed,observe,candidate,62.55%,28.98%,15.74%,24,64.65%,0.20%,0.15%,82,0.36
69,002128.SZ,电投能源,煤炭开采,主板,31.32,confirmation_needed,first_buy,candidate,62.25%,17.72%,30.77%,44,83.61%,0.82%,8.89%,64,0.31
70,002353.SZ,杰瑞股份,化工机械,主板,93.79,confirmation_needed,observe,candidate,62.05%,85.00%,3.29%,21,58.41%,0.22%,11.75%,78,0.51
71,688648.SH,中邮科技,机床制造,科创板,51.26,confirmation_needed,observe,candidate,62.04%,38.48%,30.88%,0,62.07%,0.03%,8.47%,89,0.46
72,603356.SH,华菱精工,运输设备,主板,17.60,confirmation_needed,observe,candidate,61.83%,19.66%,38.90%,16,67.85%,0.04%,0.82%,90,0.37
73,688375.SH,国博电子,元器件,科创板,109.73,confirmation_needed,observe,candidate,61.75%,78.49%,16.48%,26,75.27%,0.09%,11.77%,75,0.50
74,300926.SZ,博俊科技,汽车配件,创业板,28.17,confirmation_needed,observe,candidate,61.11%,34.32%,40.32%,24,69.62%,0.33%,9.13%,68,0.33
75,600131.SH,国网信通,通信设备,主板,18.95,confirmation_needed,observe,candidate,60.86%,55.78%,16.06%,37,53.26%,0.03%,0.91%,88,0.32
76,688356.SH,键凯科技,化学制药,科创板,94.50,confirmation_needed,observe,candidate,60.72%,85.26%,13.94%,45,73.09%,0.18%,11.28%,70,0.42
77,002378.SZ,章源钨业,小金属,主板,32.22,confirmation_needed,observe,candidate,60.06%,73.21%,6.01%,54,68.85%,0.97%,2.97%,76,0.45
78,688120.SH,华海清科,半导体,科创板,181.90,confirmation_needed,observe,candidate,59.77%,46.88%,43.04%,50,56.33%,0.10%,7.80%,63,0.55
79,600511.SH,国药股份,医药商业,主板,29.35,confirmation_needed,observe,candidate,59.48%,83.29%,22.83%,37,72.15%,0.09%,8.97%,69,0.30
80,605033.SH,美邦股份,农药化肥,主板,23.40,confirmation_needed,observe,candidate,58.82%,77.42%,42.44%,44,56.47%,0.10%,-0.90%,68,0.30
81,600801.SH,华新建材,水泥,主板,21.08,confirmation_needed,observe,candidate,58.78%,44.96%,12.97%,19,60.94%,0.02%,0.50%,73,0.44
82,002838.SZ,道恩股份,塑料,主板,25.14,confirmation_needed,observe,candidate,58.40%,39.19%,32.66%,20,62.85%,0.09%,-2.56%,74,0.43
83,002025.SZ,航天电器,元器件,主板,66.48,confirmation_needed,observe,candidate,57.97%,78.22%,9.15%,100,84.78%,0.10%,5.69%,62,0.49
84,603086.SH,先达股份,农药化肥,主板,7.85,confirmation_needed,observe,candidate,57.84%,13.76%,40.27%,32,62.45%,0.11%,2.53%,77,0.36
85,300936.SZ,中英科技,元器件,创业板,60.28,confirmation_needed,observe,candidate,57.81%,66.62%,7.52%,100,78.65%,0.09%,7.82%,63,0.30
86,688720.SH,艾森股份,半导体,科创板,67.64,confirmation_needed,observe,candidate,57.64%,15.51%,45.34%,29,70.01%,0.13%,8.27%,61,0.47
87,300510.SZ,金冠股份,电气设备,创业板,4.47,confirmation_needed,observe,candidate,57.57%,44.23%,8.64%,24,60.76%,0.07%,0.48%,82,0.31
88,603558.SH,健盛集团,纺织,主板,14.11,confirmation_needed,observe,candidate,57.19%,36.07%,10.87%,100,47.29%,0.07%,3.85%,64,0.42
89,001230.SZ,劲旅环境,环境保护,主板,25.08,confirmation_needed,first_buy,candidate,56.87%,29.96%,28.69%,44,63.27%,0.76%,7.75%,76,0.33
90,300895.SZ,铜牛信息,软件服务,创业板,69.10,confirmation_needed,observe,candidate,56.71%,77.01%,19.09%,100,79.53%,0.07%,8.71%,74,0.47
91,000713.SZ,国投丰乐,种植业,主板,6.72,confirmation_needed,observe,candidate,56.68%,59.44%,6.42%,32,56.22%,0.23%,-1.03%,73,0.40
92,002935.SZ,天奥电子,航空,主板,18.44,confirmation_needed,observe,candidate,56.53%,71.52%,18.11%,14,55.79%,0.05%,-1.10%,74,0.45
93,000822.SZ,山东海化,化工原料,主板,6.38,confirmation_needed,first_buy,candidate,56.18%,19.19%,47.96%,44,81.62%,0.05%,3.73%,69,0.23
94,300763.SZ,锦浪科技,电气设备,创业板,102.72,confirmation_needed,observe,candidate,55.79%,72.71%,6.18%,96,73.80%,0.38%,8.96%,67,0.43
95,600578.SH,京能电力,火力发电,主板,5.29,confirmation_needed,observe,candidate,55.62%,80.31%,9.37%,39,74.46%,0.18%,1.30%,80,0.34
96,688689.SH,银河微电,半导体,科创板,31.47,confirmation_needed,observe,candidate,55.39%,57.85%,15.04%,45,74.27%,0.59%,10.78%,68,0.35
97,603393.SH,新天然气,供气供热,主板,37.82,confirmation_needed,observe,candidate,55.26%,66.11%,7.23%,45,56.14%,0.03%,14.05%,91,0.40
98,001339.SZ,智微智能,IT设备,主板,62.14,confirmation_needed,observe,watch,54.78%,59.66%,7.28%,43,69.45%,0.18%,13.87%,90,0.49
99,600866.SH,星湖科技,饲料,主板,7.31,confirmation_needed,observe,watch,54.70%,39.45%,28.67%,29,62.20%,0.44%,-0.24%,77,0.35
100,600298.SH,安琪酵母,食品,主板,41.56,confirmation_needed,observe,watch,54.22%,60.28%,17.57%,36,56.64%,0.12%,8.68%,65,0.33
